"GeneID","03-11-2O_young","06-10-2O_old","08-11-2O_young","13-10-2O_young","18-08-2O_old","23-05-2O_old","29-09-2O_old","30-06-2O_young"
"ENSMUSG00000014329",3114.992,2972,4202.643,4620.314,3165.262,4955.091,5547.177,4224.461
"ENSMUSG00000014349",2934,3559.79,3330.874,3579.997,3327.648,3796.897,3643.836,3748.624
"ENSMUSG00000014351",0,0,0,0,0,0,0,0
"ENSMUSG00000014353",3399.201,3543.003,3603.631,4215,3373.001,3914.001,3841.001,4881.525
"ENSMUSG00000014355",6411.681,5795.986,6226.613,7927.913,3822.017,5977.663,6815.751,5943.794
"ENSMUSG00000014361",1058,1159.399,979,1970.406,1182,1786.205,1781.112,1898.31
"ENSMUSG00000014402",2804.213,2623.288,3221.28,3024.673,2746,3161.43,2612.839,3577.507
"ENSMUSG00000014418",1380.801,1569.252,1416.332,1644.294,1793.879,1704.93,1438.089,2178.837
"ENSMUSG00000014426",2132.018,1827.31,2042.001,2567.001,1625,2062,1658.001,2927.769
"ENSMUSG00000014444",3766.858,3609.826,2975.508,4573.298,3605.261,3357.693,5041.475,3271.683
"ENSMUSG00000014453",13,33,4,9,54,59,174.07,18
"ENSMUSG00000014470",1234,1502.095,1341,1697,1962,2097,1489,2148.795
"ENSMUSG00000014496",3874.014,3474.063,2738.319,4595.097,3153.048,3362.941,5850.353,3257.064
"ENSMUSG00000014498",3047.097,3094.267,2253,3230.063,1307,1829.482,3341.106,2068.091
"ENSMUSG00000014503",1737.594,922.242,1336.052,2650.557,798.62,779.758,582.511,1832.943
"ENSMUSG00000014504",1928.845,1686.999,2621.264,2078.001,2201.999,2073.626,1706,2655.657
"ENSMUSG00000014529",1,0,1,1,1,0,0,3
"ENSMUSG00000014542",0,0,0,0,1,1,0,1
"ENSMUSG00000014543",0,0,0,0,3,6,5,2
"ENSMUSG00000014547",1675.766,1911.751,1660.682,1786.347,1831.946,1623.941,1657.834,1787.134
"ENSMUSG00000014550",1581.026,1446.642,1504.081,1872.219,1106.01,1559.616,1735.174,1693.02
"ENSMUSG00000014551",1760.554,2146.379,2346.216,1886.86,3077.168,2486.403,1476.25,3236.021
"ENSMUSG00000014554",972,1172.711,949.001,1102.999,1356.001,1247,969,1222.097
"ENSMUSG00000014592",2342.258,1711.004,1821,2786,2157.999,3152.354,2253,3069.995
"ENSMUSG00000014599",739,1315.996,810.726,1080,1551.323,1462.005,8873.895,939
"ENSMUSG00000014601",1669.114,1450,1641.752,2021.001,1687.943,2085.021,1950,1985
"ENSMUSG00000014602",298,575.004,293.006,552.003,566.006,818.002,549.232,595.495
"ENSMUSG00000014603",0,0,0,0,0,0,0,0
"ENSMUSG00000014606",1982.137,2859.281,2477.396,1956.9,2575.322,2380.235,1709.354,2567.39
"ENSMUSG00000014609",4,1,2,3,3,7,8,3
"ENSMUSG00000014633",436.001,584.258,699.644,440.409,711.909,397.211,271.694,583.306
"ENSMUSG00000014668",1102.301,1234.017,1279.999,1274.019,1430.519,1128.003,988,1694.992
"ENSMUSG00000014686",4.277,0,2,7,9,3.426,16.709,5.499
"ENSMUSG00000014704",24,30,10,31,52,35,44,46
"ENSMUSG00000014725",114.405,61.324,85.65,83.235,206.5,75.616,102.356,113.34
"ENSMUSG00000014747",24,10,18,21,9,6,13,20
"ENSMUSG00000014748",2861.955,3168.526,3814.997,2981.038,2927.51,2857.781,2386.797,3338.34
"ENSMUSG00000014763",1343,1617,1435,1739.999,1505.038,1841.001,1794,1955
"ENSMUSG00000014767",1276.36,1092.547,1353.316,1534.234,1358.18,1384.077,1357.939,1743.885
"ENSMUSG00000014769",5862.313,4960.726,6991.09,5484,5818.907,5698.578,4232.04,7159.894
"ENSMUSG00000014771",537.715,471.689,606.502,582.674,616.02,709.808,552.419,911.673
"ENSMUSG00000014773",216,233,80,233.002,236,313,312.001,182
"ENSMUSG00000014776",78.055,75.906,160.449,100.128,137.464,157.294,120.79,109.082
"ENSMUSG00000014778",1014.175,1120.032,1106.007,1412.128,1640.426,1203.007,1363.373,1376.319
"ENSMUSG00000014782",639.001,163.999,3638,2500,750.003,35,21,7898.492
"ENSMUSG00000014786",261,169,189,250.01,232,222,254,302
"ENSMUSG00000014791",262.001,782,285.999,375,936,726.444,376.001,400
"ENSMUSG00000014813",904,1926.805,1659.156,1056.308,2097,2771.997,3920.05,897
"ENSMUSG00000014837",490.779,491.112,284.822,589.303,494.465,702.551,539.06,520.615
"ENSMUSG00000014846",428.994,438.012,482.001,1094.489,367.077,1087.004,386.208,1349.999
"ENSMUSG00000014850",1759.27,1134.755,1318.463,1834.08,1002.885,1753.994,1175.077,2038.692
"ENSMUSG00000014852",13.906,18.437,14.074,13.779,21.15,13.832,18.605,34.289
"ENSMUSG00000014856",896.999,1121.986,1412.119,1073.875,1305.274,1182.983,836.983,1435.959
"ENSMUSG00000014859",1612.053,1571.999,1747.628,1953.378,1455.001,1638,1727.794,2024.999
"ENSMUSG00000014867",8738.531,10559.478,10877.148,11782.335,8897.702,8725.173,9339.495,11993.171
"ENSMUSG00000014873",1196.411,1315.733,1222.191,1372.895,1978.624,1713.909,1283.732,1711.39
"ENSMUSG00000014905",2410,2820.998,2210.989,3139.992,3379,3075.294,3020.951,2525
"ENSMUSG00000014907",923.984,876,958.953,1052.991,902.982,1082.983,1460.992,1045.986
"ENSMUSG00000014932",2290.344,2315.836,2701.889,2502.777,2494.973,2216.181,2524.38,2638.435
"ENSMUSG00000014956",8805.217,9550.953,10756.871,9168.378,9450.422,9771.618,9683.72,8900.612
"ENSMUSG00000014959",3384.652,3458.408,3986.077,4082.123,3476.474,3983.799,3620.533,5080.603
"ENSMUSG00000014980",849.021,609.003,987.003,1058.987,698.007,1425.01,983.01,1369
"ENSMUSG00000015001",0,0,0,0,0,0,0,0
"ENSMUSG00000015002",3205.171,3623.771,3681.91,3569.768,3514.779,3889.499,3902.615,3866.082
"ENSMUSG00000015013",806.85,1017,1032.282,788.001,1024.008,915,648.018,1091.999
"ENSMUSG00000015016",521,649.999,593,579,652,573.001,434.002,640.999
"ENSMUSG00000015023",3353.15,3355.945,2348.57,2913.809,2300.364,1767.836,1625.034,2388.4
"ENSMUSG00000015027",278,275,438,317,239,331,367,336
"ENSMUSG00000015053",222,422,217.999,248,370.08,226,341,237
"ENSMUSG00000015083",61.144,151.001,41.015,45,204,63,42,51.999
"ENSMUSG00000015085",124,185,76.719,175.759,182.755,211.9,206.665,109.182
"ENSMUSG00000015087",4660.929,5247.968,4276.937,4929.957,5354.348,4847.078,4288.613,5754.186
"ENSMUSG00000015090",191.001,487.039,222,268,586,83,54,345
"ENSMUSG00000015092",2587.022,3480.445,4955.965,3076.001,4421.67,3563.905,2612.002,4029.897
"ENSMUSG00000015093",196,1270.632,25.001,99,1476.001,61,52,70
"ENSMUSG00000015094",2808.394,3189.874,3387.325,3587.24,3502.246,4502.307,3203.448,4018.657
"ENSMUSG00000015095",2139.89,2756.204,2186.986,2450.21,2464.652,2563,1934.107,2468.753
"ENSMUSG00000015112",1106,1420.44,826.001,1234.242,1044.999,1130,1092,1340.003
"ENSMUSG00000015120",10518.163,8824.503,8854.407,9419.966,8111.127,9975.252,9395.661,10888.541
"ENSMUSG00000015126",610.017,704.203,713.866,724.864,946.9,737.856,535.853,960.736
"ENSMUSG00000015127",980.425,1208.326,868.678,1249.64,1094.1,1089,1155.732,1156.752
"ENSMUSG00000015133",1719.029,1478.615,1813.052,2659.18,1411.045,2201.085,2130.258,2807.231
"ENSMUSG00000015134",212.722,425.233,221.907,264.179,405.986,380.74,493.085,208.306
"ENSMUSG00000015143",8500.858,10439.65,11613.356,10288.326,10747.65,7898.633,16619.455,11724.577
"ENSMUSG00000015149",2353.668,2891.084,3211.773,2918.005,3782,3314,2989,3772.999
"ENSMUSG00000015165",18156.945,15545.424,16487.662,19174.121,16305.716,20516.608,18910.436,19077.286
"ENSMUSG00000015176",3760.217,2962.421,3153.223,4324,2810.755,3272,5114.006,4406.344
"ENSMUSG00000015189",2077.544,2379.567,2593.636,2285.001,1948,2115.988,2069.368,2345
"ENSMUSG00000015202",685,705,494,765,625,645,884,588
"ENSMUSG00000015214",1231,1589,1363.001,1396,1720,1368.622,1608.999,1702.002
"ENSMUSG00000015217",4473.006,2159.707,2993.995,3643.074,1658.263,3482.281,2311.057,5178.052
"ENSMUSG00000015222",620.098,420,547,781,313,401,475.001,759
"ENSMUSG00000015224",159,158,227,178,161,216,235.057,209
"ENSMUSG00000015242",0,0,0,0,0,0,0,2
"ENSMUSG00000015243",5855.216,4076.55,10232.499,6152.073,4076.898,7614.032,12707.264,6548
"ENSMUSG00000015247",1406,2502.023,1671,1601.006,2621.225,2031.852,1438.989,1887
"ENSMUSG00000015289",796.637,845.621,1081.002,924.91,1006.428,1023.502,653.47,1148.218
"ENSMUSG00000015290",1466.613,1701.802,2082.656,1726.96,1921.178,1958.95,1509.547,2446.995
"ENSMUSG00000015291",6297.447,8783.227,7147.227,7860.944,8996.464,7881.208,7717.12,7785.123
"ENSMUSG00000015305",1960.066,2257.119,1695.081,2201.284,2478.01,1897.083,2124.721,2393.086
"ENSMUSG00000015312",2315.973,3043.003,2949,2458.698,4380.04,3452.029,8025.845,3218.469
"ENSMUSG00000015314",7.999,8,4,5,43,17,57.001,29
"ENSMUSG00000015316",114.832,61.668,84.362,105.069,204.253,105.919,97.765,120.303
"ENSMUSG00000015335",465.001,664.001,690,447,1040,454.661,298,747
"ENSMUSG00000015337",196.458,245.582,240.111,261.668,253.464,305.179,225.399,314.375
"ENSMUSG00000015340",180,250,241,205,521,578,1306.612,392
"ENSMUSG00000015341",4872.012,5163.444,6994.528,5573.692,6513.934,6041.048,4891.016,6464.045
"ENSMUSG00000015342",268.004,227,199.001,384.004,169.006,269,219.867,373
"ENSMUSG00000015354",13,11,54,25,6,8,23,234.071
"ENSMUSG00000015355",49,37,90,53,155,124,238,124
"ENSMUSG00000015357",1931.001,1893.002,2978.932,2130.453,1916,2087.214,1710,2451
"ENSMUSG00000015363",1376,1272.004,1470,1739.001,1436.999,1782.001,1564.031,1754.999
"ENSMUSG00000015365",35,14,22,67,3,6,4,21
"ENSMUSG00000015377",1298.439,1020.001,846,1465.08,1459.999,1608.001,996.095,1606.042
"ENSMUSG00000015396",344,567,321,337,730,290,979,509
"ENSMUSG00000015401",7,13,9,4,3,5,1,8
"ENSMUSG00000015405",397,635,697,787,377,199,300,313
"ENSMUSG00000015437",19,59,32,18,55,30,71,20
"ENSMUSG00000015441",1,0,0,2,0,0,0,0
"ENSMUSG00000015443",0,0,0,0,0,0,0,0
"ENSMUSG00000015452",134.999,122,86.999,181.001,233.999,189,141,232.001
"ENSMUSG00000015461",1981.001,1850.752,2336,2575.086,1500,2620.014,2159,2569.001
"ENSMUSG00000015467",59,67,55.814,80,116.999,90.999,80.041,92.041
"ENSMUSG00000015468",551,1036,453,612,1339,363.013,418,543.005
"ENSMUSG00000015474",1393.37,1606,1353,1446.998,1494,1247.264,985,1597.001
"ENSMUSG00000015476",47,100,109,131,179,131,185,124
"ENSMUSG00000015478",1362.007,2098,1876,1570,2530.999,1825,1331,2080.433
"ENSMUSG00000015484",229,119,119,302,95,747,381,150.199
"ENSMUSG00000015488",1775.302,2107.051,1818,2253.738,1861,2407.893,1978.014,2295.651
"ENSMUSG00000015501",1068.728,2180.26,1346.038,1390.276,2330.917,1202.986,3242.495,1252.549
"ENSMUSG00000015519",0,9,1,0,1,0,1,0
"ENSMUSG00000015522",3126.38,3050.995,3196.997,3781,2978.019,3973.466,4931.294,3597.832
"ENSMUSG00000015533",1330.369,1208,1364.492,1297.011,889.004,903.017,1304.782,1498.275
"ENSMUSG00000015536",1933.878,2265.999,3091.479,2055.977,3489.626,2077.717,1825.106,3047.999
"ENSMUSG00000015542",477.079,597,603,583.001,666,807,512,852.001
"ENSMUSG00000015568",2515.025,2313.616,3286.42,3178.836,3732.472,4643.051,5534.193,7757.456
"ENSMUSG00000015575",2274.002,3811,3302,2225.105,4431.128,2878.015,2182.01,3023.688
"ENSMUSG00000015579",0,0,0,0,0,0,0,0
"ENSMUSG00000015597",1896.005,1563.037,1526.023,2252.012,1445.554,1812,1772,2105.061
"ENSMUSG00000015599",107.311,52.934,54.318,143.153,76.095,83.214,114.178,112.338
"ENSMUSG00000015605",1868.23,2493,1965.147,2707.759,1483.999,2178.719,3036.999,2057.999
"ENSMUSG00000015619",116,134,122,151,273,321,254,67
"ENSMUSG00000015627",16,33,37,40,59,77,18,29
"ENSMUSG00000015647",2723,5591.042,2237.079,3343.042,6408.187,5035.333,4449.38,2776.124
"ENSMUSG00000015652",100,126,218,114,137,89,309,101
"ENSMUSG00000015653",1044.018,855.749,2210.039,1501.037,730.731,989.078,1557.969,1653.302
"ENSMUSG00000015656",127865.182,89791.756,94825.275,85700.222,92340.794,61520.244,81409.077,106279.655
"ENSMUSG00000015659",363.062,315.63,245.918,352.214,185.74,257.963,383.687,284.434
"ENSMUSG00000015665",0,1,0,2,0,11,9,0
"ENSMUSG00000015668",1182.18,1295.999,1587.475,1263.876,1551.706,1311.79,826.319,1701.891
"ENSMUSG00000015671",4900.844,3949.412,5840.993,4440.858,4588.975,4876.384,4051.966,6167.451
"ENSMUSG00000015672",1267.06,1177.969,1528.902,1352,1510.999,1275.999,1035,1646.667
"ENSMUSG00000015697",2919.603,2203.356,2672.081,3732.186,2324.075,2781.239,2521.204,3574.492
"ENSMUSG00000015702",123,221,204,214,216,367,186,155.069
"ENSMUSG00000015709",1381.001,1398.135,2464.174,1436.001,1318,1199.041,1744,2325.053
"ENSMUSG00000015711",1552.364,2843.237,1698.981,1538.534,2271,1334.64,1073.583,1585
"ENSMUSG00000015714",5964.562,8071.804,8598.874,6565.507,8442.089,7019.871,6330.706,7472.163
"ENSMUSG00000015721",3795.919,1121.774,2419.761,7292.802,442,479.412,369.006,2823.713
"ENSMUSG00000015733",4770.421,5184.862,5411.303,5036.601,4390.125,4387.383,5283.495,4565.909
"ENSMUSG00000015745",988.222,863.884,1213.001,1263,1143,1068.712,1233.999,1589
"ENSMUSG00000015747",567.026,613.55,769.999,578.999,550.033,561,470,585.805
"ENSMUSG00000015748",1265.956,1021.918,1377.039,1715.315,1283,1444.259,1318.961,1735
"ENSMUSG00000015749",6394.438,7527.556,6244.145,5700.944,6816.756,5104.723,5093.966,6865.991
"ENSMUSG00000015750",3842.594,4042.972,4090.181,4019.172,3705.235,5082.091,3472.639,4443.522
"ENSMUSG00000015755",4652.46,4232.032,5264.59,5671.545,4327.954,5970.117,5998.999,5893.875
"ENSMUSG00000015757",1633.102,1764.961,1729.292,2179.683,1850.028,1981.62,1976.275,2308.315
"ENSMUSG00000015759",2987.665,3453.987,3922.512,3198,3780.951,3513,2538,3473
"ENSMUSG00000015766",1326.852,1235.214,2125.116,1973,1397.773,1423,1409,1689.999
"ENSMUSG00000015776",1917.64,2091.324,2065.206,2348,1694.522,1807.059,1414.82,1999.937
"ENSMUSG00000015787",1,0,0,0,0,0,0,0
"ENSMUSG00000015790",1112.979,1509.087,1393.37,1379.494,1620.439,1421,1182.564,1539.402
"ENSMUSG00000015804",1994.999,1913.547,2487,2638.911,1963,2309.089,1818.533,2467.183
"ENSMUSG00000015806",2595.839,3664.72,3085.212,2384,4633.999,2962.957,1996.094,3127.001
"ENSMUSG00000015812",48,39,68,83,66.999,63,45,118
"ENSMUSG00000015829",20.212,29,15,19.999,42,9,6,20
"ENSMUSG00000015837",21239.442,32376.567,26991.345,25940.093,34524.122,31609.94,44645.223,30369.635
"ENSMUSG00000015839",4318.716,6193,5314,6053.702,6918.033,6815.334,9187.705,4855
"ENSMUSG00000015843",7,4,8,10,2,12,10,1
"ENSMUSG00000015846",1338,1471.097,1560,2107,1241,1981.002,1979,1959
"ENSMUSG00000015850",201,1323,336,248,1595.29,123,183,347.001
"ENSMUSG00000015852",90,63,345,205,111,168,96,334
"ENSMUSG00000015854",25,73,16,25,108,615.534,1818,28
"ENSMUSG00000015869",3098.976,2493.1,3003.001,3933.001,2999.877,3990.396,2956.009,4592.005
"ENSMUSG00000015879",10,3,16,10,8,13,10,14
"ENSMUSG00000015880",1899.79,638.793,1303.279,1879.249,233.589,720.275,752.221,1553.095
"ENSMUSG00000015882",1410.215,1118.227,1168.745,1458.349,997.328,1547.734,1337.774,1483.977
"ENSMUSG00000015889",2322,2466.426,2804.385,2376.664,2358,2210.132,2355,2475.001
"ENSMUSG00000015890",76,249.02,7,19,288,52,15,11
"ENSMUSG00000015932",17027.377,19482.095,29802.466,23766.148,24482.85,29422.55,20665.013,30346.684
"ENSMUSG00000015937",6437.319,9648.704,5438.617,5085.584,11194.019,5312.378,4717.707,7187.672
"ENSMUSG00000015942",613.001,595.032,536,800.29,761.154,945.82,686.508,1114.031
"ENSMUSG00000015943",398,521.999,490.004,358,684,412,259,614
"ENSMUSG00000015944",720.375,767.022,1264.05,1050.12,911.061,948.168,687.51,1544.438
"ENSMUSG00000015947",50,51,120,91,152,94,213,178
"ENSMUSG00000015950",85,63,131.001,110.714,167.002,165.146,345.827,389
"ENSMUSG00000015957",97,65.999,135,133,73,64.001,54,180
"ENSMUSG00000015961",4654,3369.123,4423.128,5596.805,3469.705,3632.938,4444,4665.009
"ENSMUSG00000015962",0,3,0,0,0,1,2,0
"ENSMUSG00000015966",85.339,56,57,152,44,115,51,128.003
"ENSMUSG00000015968",911.172,684.148,457.796,1459.853,512.934,1087.756,1078.453,1258.7
"ENSMUSG00000015970",315.507,138.852,229.204,557.146,57.066,234.305,66.642,277.345
"ENSMUSG00000015971",1489.982,1495.007,1374.998,1708.002,1457.267,1673.987,1438.037,1840.001
"ENSMUSG00000015980",111.999,156.2,105,134,143.999,149,110,160
"ENSMUSG00000015981",118,132,85,171,150,80,116,155
"ENSMUSG00000015994",1935.001,2217.004,2388.35,2149.001,2317.765,2473.999,1762,2767.999
"ENSMUSG00000016018",2951.298,2527.901,3088.546,3196.633,1693.935,2559.119,2791.921,2590.373
"ENSMUSG00000016024",416.02,725.018,841.038,975.1,556.889,1343.586,1961.242,694.057
"ENSMUSG00000016028",1320,1007,894.001,1697.016,443.006,1091,804.001,1142.949
"ENSMUSG00000016087",572.007,512.117,595.373,610.207,852.679,487.05,1047.026,519.378
"ENSMUSG00000016128",1662.999,1312,1658.248,2307.741,1456.999,1502.425,3814.999,1857
"ENSMUSG00000016150",4.982,0,1,1,15.181,3,2,2.001
"ENSMUSG00000016179",44,19,19,45,31,12,16,35.997
"ENSMUSG00000016181",936.002,591,767.001,1134.964,565.01,747.009,872.5,1085.004
"ENSMUSG00000016194",18,96,164,17,157,18,36,52
"ENSMUSG00000016200",651,671,631.999,833.623,716.556,892,722.999,734
"ENSMUSG00000016206",403.005,464,592.192,596,425,882,876,640
"ENSMUSG00000016239",220,426,135,187,177,122,303.001,97
"ENSMUSG00000016252",3550.971,4066.798,4860.483,4094,5398.981,4772,2708.003,5067.098
"ENSMUSG00000016253",1578.001,1267,1661.944,1792,1262,1658.001,1273.001,2047.999
"ENSMUSG00000016255",0,12,2,1,4,0,1,0
"ENSMUSG00000016256",4320.735,4211.056,6800.66,4716,5444.026,7617.831,7017.937,7062.308
"ENSMUSG00000016257",2332.865,3250.289,2417.007,2077.151,3923,2432.043,1885,2534.06
"ENSMUSG00000016262",658,422,500,546,403,543,479,781.179
"ENSMUSG00000016283",8,65,13,16,159,113,306,48
"ENSMUSG00000016308",1093,1075.001,1349.116,1286,1382.614,1311.009,1027.078,1444.022
"ENSMUSG00000016319",10653.756,9347.549,14476.813,11783.279,7725.915,11322.001,9400.482,12324.355
"ENSMUSG00000016327",1,1,4,1,4,2,0,0
"ENSMUSG00000016344",1301,1301.677,1664.999,1315.018,1858,1950.94,1162,1863.175
"ENSMUSG00000016346",6.691,2,1,3,8.997,4,3,0
"ENSMUSG00000016349",8,44,19,12,41,51,19,4
"ENSMUSG00000016356",539.001,588,435.076,559.084,983,537,403.087,639
"ENSMUSG00000016382",5620.489,5678.405,7508.833,6746.49,4247.305,6574.925,7025.956,7159
"ENSMUSG00000016386",643,426,487,801.001,313,1278.505,635.999,986.727
"ENSMUSG00000016409",1022.274,1399,1013.007,1111,1741.956,1213.041,860.003,1522.022
"ENSMUSG00000016427",981,2362.041,1946.926,1417.903,3181.495,1721,1016,1822
"ENSMUSG00000016458",4261.297,3599.999,4063.494,6136.003,5607.156,7211.409,6668.926,5189.026
"ENSMUSG00000016477",785.073,730,679,798,633,644,607.001,997.328
"ENSMUSG00000016481",2237.065,2747.062,2761.293,2489.921,2531.175,2430.147,2372.924,2465
"ENSMUSG00000016487",4132.63,3619.39,5559.003,4798.064,3329.994,3733.223,5012.971,4708
"ENSMUSG00000016493",332,316,260.001,331.079,459,423.995,331.102,461
"ENSMUSG00000016494",3847.703,2988.784,6769.721,5125.241,3552.589,5659.04,5757.283,4211.848
"ENSMUSG00000016495",1386,1867.671,1407.999,1511.68,2829.294,1880.001,1655,1930.999
"ENSMUSG00000016496",137.185,248.242,124.689,184.891,365.113,257.917,1067.247,159.915
"ENSMUSG00000016498",0,0,0,1,5,1,40,2
"ENSMUSG00000016503",1277.186,1157.984,1595.478,1372.514,1298.192,1662.036,1036.949,2017.784
"ENSMUSG00000016510",601.814,880.016,672.434,721.487,1061.808,839.217,554.051,954.68
"ENSMUSG00000016520",1344,1058.107,991,1536,1079,1501.511,1497,1599.001
"ENSMUSG00000016524",2,1,3,1,12,3,1,4
"ENSMUSG00000016526",202,150,224,190,167,163,181,233
"ENSMUSG00000016528",4036.139,4693,5113.937,4553,4157.345,5004.951,6344.99,4383.844
"ENSMUSG00000016529",33,55,27,21,83,34,102,14
"ENSMUSG00000016534",13849.316,16587.512,21659.632,17061.387,16643.315,19691.436,22473.541,16195.854
"ENSMUSG00000016541",4769.136,4182.062,5845.019,4787.346,4302.982,5136,3943.853,8666.351
"ENSMUSG00000016552",568,1809,199,462,1052.292,318,236,326
"ENSMUSG00000016554",5052.781,4025.142,5847.147,5459.392,3518.001,5233.647,5327.104,6168
"ENSMUSG00000016559",47837.291,46229.854,56278.612,46204.581,54734.789,60522.678,49783.006,49633.853
"ENSMUSG00000016619",2470.526,2692,2201.296,2387,2262,1715.009,2094,2303
"ENSMUSG00000016624",67.001,75,59,85,102.001,85,138.999,112
"ENSMUSG00000016626",6280.495,1955.788,4066.003,11246.483,691,727,511.007,5128.464
"ENSMUSG00000016637",512,441,661,519,453,644.999,447.772,633.999
"ENSMUSG00000016664",4058.575,6030.899,4780.797,5138.518,4201.229,5454.026,4137.281,4052.861
"ENSMUSG00000016756",468.895,318.312,498.788,459.561,658.102,483.57,685.024,514.725
"ENSMUSG00000016757",1402.003,1156,1620.481,1274.534,986.999,1277.632,894,1519
"ENSMUSG00000016758",64,55,89,93,94.999,138,96.001,115.001
"ENSMUSG00000016763",1495.999,683.001,1299,1775.001,360.001,829,719.847,1216.353
"ENSMUSG00000016831",2850.029,2966.038,3233.821,3545.97,3103.859,3560.043,3378.89,3792.064
"ENSMUSG00000016833",795.069,875.716,1183.04,773.931,1081.234,947.008,654.479,1137.069
"ENSMUSG00000016918",563.001,685,1019.896,1008,532,909,1324.999,583
"ENSMUSG00000016921",13621.77,13290.047,13182.301,17563.542,16937.616,20730.025,15730.934,24682.043
"ENSMUSG00000016933",5325.536,5061.01,4096.987,6469.156,4688.917,5481.05,5279.976,5986.37
"ENSMUSG00000016940",1400,1335,1624,1732.581,1656.724,2594.999,1391.014,1958
"ENSMUSG00000016942",97,486,75,36,466,88,40,71
"ENSMUSG00000016946",1221.835,926,1173,1333,844.257,1173,941.897,1443
"ENSMUSG00000016982",0,0,1,2,0,2,0,0
"ENSMUSG00000016984",643,376,560,711,418,616,487,741
"ENSMUSG00000016995",6,2,4,4,23,4,19,7
"ENSMUSG00000016998",0,0,0,0,0,0,0,0
"ENSMUSG00000017000",4,7,11,6,8,92,15,1
"ENSMUSG00000017002",111,335,212,37,305,151,498.632,23
"ENSMUSG00000017003",0,1,0,0,4,0,8,0
"ENSMUSG00000017004",21,77,130,61,142,1142.362,281,59
"ENSMUSG00000017007",5,2,1,1,6,0,4,7
"ENSMUSG00000017009",9904.292,15020.777,14068.912,12063.05,14882.081,21297.236,42303.385,7958.108
"ENSMUSG00000017049",0,0,0,0,0,0,0,0
"ENSMUSG00000017057",1448.877,2420.01,2621,1854.792,2466,1802.112,5131.47,1195
"ENSMUSG00000017064",0,0,0,0,0,0,2,0
"ENSMUSG00000017119",5026.796,6485.912,7006.395,6208.574,6696.044,5814.928,5095.835,6809.141
"ENSMUSG00000017132",1113.047,1300.111,930.003,1205.34,1547,1177.223,1307,1389
"ENSMUSG00000017144",1667.795,945,2047.988,1266,1601,945.05,1565.712,1630.008
"ENSMUSG00000017146",794,383,775,921.036,114,329,473.008,739
"ENSMUSG00000017165",0,0,0,0,0,0,0,1
"ENSMUSG00000017167",796.317,827.368,1123.085,1475.463,1082.627,1163.219,1323.989,1085.11
"ENSMUSG00000017176",2715.17,2599.611,2835.869,3212.534,2696.655,3257.022,2233.735,3909.712
"ENSMUSG00000017188",964,1196,1621,1059,1422,1361.613,894,1473.187
"ENSMUSG00000017195",6,9.999,10,7,3,8,2,21
"ENSMUSG00000017204",0,0,7,0,12,1,4,10
"ENSMUSG00000017210",2296.336,1860,2487.001,2745.738,1693.001,2995.141,2291.001,3183.238
"ENSMUSG00000017211",0,0,4,1,0,0,0,0
"ENSMUSG00000017221",5140.294,4478.813,5419.447,4889.001,3828.758,4502.564,4405.993,5165.493
"ENSMUSG00000017264",2532.994,2200.48,2908.001,2993,2057,2548.999,2775.017,3235.483
"ENSMUSG00000017286",1851.481,1937.803,2206.006,2039.323,1667.395,2196.716,1709.999,2167.436
"ENSMUSG00000017288",986.559,1352.366,1349.578,986.099,1226.138,1109.537,954.579,1320.192
"ENSMUSG00000017291",5004.889,5463.576,4790.932,5172.538,4841.982,4896.564,6109.973,4879.069
"ENSMUSG00000017299",1273,1214,1524,1391,1138,1393.109,1259.999,1686
"ENSMUSG00000017300",3,4,1,3,13,1,1,3
"ENSMUSG00000017307",447.714,515.541,581.627,502.162,610.191,498.265,388.396,556.301
"ENSMUSG00000017309",274.001,757.24,245,247,1826.627,355,371.809,183
"ENSMUSG00000017310",2,0,0,0,0,0,0,0
"ENSMUSG00000017311",0,0,2,0,0,0,0,0
"ENSMUSG00000017314",314,454.244,391.006,464,490,414,884.013,291
"ENSMUSG00000017316",0,0,0,0,0,0,0,0
"ENSMUSG00000017344",55,76,35,81,112,84.945,124,47
"ENSMUSG00000017376",1497,1747.105,1492,1887,1844,2440.06,1929,2223.999
"ENSMUSG00000017386",1933.018,2003,1479.999,1993.001,2088,2277.197,1851.999,2064.422
"ENSMUSG00000017390",287,1702.35,274,297.001,1960.618,642.999,243,188
"ENSMUSG00000017400",24,37,60,48,41,132,149,20
"ENSMUSG00000017404",29264.671,22247.77,34578.852,28880.193,25011.622,31835.013,24272.423,38642.568
"ENSMUSG00000017405",889,966,741.999,1159.999,1187,1642.727,982.92,1355.001
"ENSMUSG00000017412",137,143.947,118,233,192,182,128,228
"ENSMUSG00000017417",379.001,569.001,399.016,280,934,267.007,270.001,399
"ENSMUSG00000017418",3173.514,2733.032,2109.026,3537.074,1834.252,2446.046,4065.524,2117.158
"ENSMUSG00000017421",8051.189,6408.945,8796.027,8938.47,7920.177,8787.128,8371.812,10766.344
"ENSMUSG00000017428",3346.227,3365.046,3653.551,3652.402,3316.206,3194.569,4050.087,3630.899
"ENSMUSG00000017446",1199.297,1503.93,1605.275,1778.12,605.307,1309.395,1851.68,766.785
"ENSMUSG00000017453",185,90,139,97,78,264,185,126
"ENSMUSG00000017466",6023,6710.866,10201.996,8894.938,6506.103,10785.317,10251.596,9301.023
